aX,aY,aZ,gX,gY,gZ
0.020,0.270,0.931,3.357,1.221,2.136
0.025,0.284,0.945,2.991,0.549,2.197
0.030,0.290,0.968,1.709,0.000,1.709
0.021,0.295,0.959,0.793,1.343,0.793
0.015,0.268,0.953,1.160,2.197,-0.610
0.020,0.279,0.937,1.770,2.625,-0.549
0.022,0.287,0.943,1.709,2.441,-0.244
0.026,0.274,0.943,2.014,2.563,-1.160
0.022,0.268,0.914,3.723,2.930,-1.099
-0.002,0.253,0.906,3.967,1.160,-0.427
0.000,0.258,0.970,2.930,-1.404,0.671
-0.000,0.248,0.954,2.258,0.732,0.793
-0.001,0.239,0.908,1.465,2.869,0.854
-0.005,0.257,0.930,0.244,0.549,2.075
-0.002,0.270,0.966,1.587,-1.526,2.441
-0.003,0.244,0.958,4.700,-0.977,1.465
0.000,0.241,0.942,5.005,0.366,1.526
0.004,0.275,0.947,2.380,0.305,2.441
0.012,0.289,0.967,1.038,0.488,1.892
0.008,0.274,0.974,1.404,1.282,0.244
0.009,0.270,0.941,2.014,2.625,-0.610
0.007,0.264,0.920,2.991,2.686,-0.793
0.007,0.253,0.934,1.770,1.709,-0.854
0.007,0.258,0.957,0.183,0.732,-0.305
0.008,0.255,0.956,0.305,1.282,0.122
0.009,0.260,0.937,1.404,1.892,0.366
0.013,0.266,0.935,2.197,1.343,0.671
0.016,0.267,0.949,2.258,0.427,0.793
0.016,0.283,0.949,2.319,0.671,0.732
0.017,0.281,0.944,2.625,1.038,-0.122
0.021,0.288,0.953,2.747,1.160,-0.916
0.016,0.269,0.962,2.930,1.587,-1.953
0.012,0.259,0.933,2.319,2.869,-2.563
0.007,0.252,0.953,0.244,2.625,-2.319
0.015,0.245,0.963,-0.427,2.258,-1.953
0.013,0.252,0.948,0.061,3.174,-1.587
0.018,0.262,0.939,-0.305,3.723,-1.282
0.009,0.253,0.930,0.549,3.296,-1.587
0.012,0.228,0.946,0.854,2.197,-1.709
0.014,0.246,0.968,0.366,1.526,-0.671
0.015,0.247,0.942,1.221,2.747,-0.122
0.008,0.239,0.915,2.625,2.563,-0.061
0.010,0.256,0.970,1.099,0.061,0.916
0.018,0.273,0.994,1.343,0.549,0.793
0.012,0.252,0.941,3.662,3.967,-0.549
0.013,0.239,0.928,3.906,3.906,-1.038
0.014,0.248,0.948,2.563,2.136,-0.122
0.017,0.248,0.954,1.465,1.892,0.366
0.017,0.253,0.942,1.465,2.808,0.183
-1.463,0.099,2.466,73.669,-575.867,166.382
-1.357,0.507,3.042,62.866,-545.105,169.739
-1.110,1.129,3.548,34.912,-494.263,162.842
-0.641,1.385,3.970,-46.570,-407.104,132.751
-0.347,1.386,3.894,-156.311,-280.884,90.332
-0.305,1.403,3.392,-252.014,-158.203,50.842
-0.323,1.136,2.898,-283.630,-80.139,17.029
-0.361,0.669,2.302,-231.140,-45.715,-4.822
-0.382,0.289,1.916,-135.315,-49.805,-7.202
-0.327,0.079,1.883,-54.688,-75.317,4.761
-0.239,0.016,2.129,-9.033,-93.201,22.766
-0.188,0.147,2.230,3.357,-84.595,37.476
-0.133,0.294,2.160,-3.784,-58.777,44.373
-0.012,0.568,2.085,-16.418,-36.255,48.950
0.074,0.817,1.815,-10.620,-16.785,45.715
0.154,0.816,1.412,8.118,2.075,29.297
0.166,0.632,1.100,19.836,15.015,8.423
0.152,0.460,0.925,18.494,17.883,-4.395
0.138,0.366,0.878,8.606,15.564,-8.545
0.128,0.281,0.824,5.371,15.320,-10.315
0.103,0.179,0.720,10.437,16.235,-10.559
0.071,0.115,0.616,16.235,14.160,-7.019
0.087,0.122,0.642,17.822,6.531,-0.061
0.107,0.162,0.756,18.494,-1.343,7.019
0.110,0.241,0.769,23.010,-2.625,11.536
0.109,0.263,0.764,27.588,-2.869,11.658
0.102,0.304,0.744,27.466,-3.723,11.353
0.094,0.337,0.744,20.874,-4.822,10.071
0.069,0.329,0.779,11.902,-5.859,6.958
0.069,0.281,0.829,3.906,-5.676,3.845
0.020,0.250,0.866,-2.319,-5.188,2.991
0.014,0.228,0.886,-5.615,-5.005,3.296
0.014,0.247,0.931,-4.700,-7.324,5.310
0.017,0.280,0.922,-0.488,-7.751,7.568
0.034,0.272,0.966,2.625,-9.766,8.545
0.041,0.285,1.043,2.869,-11.841,9.827
0.047,0.320,1.050,3.967,-9.338,11.169
0.068,0.330,1.068,4.822,-6.287,10.193
0.071,0.326,1.053,5.066,-3.357,9.033
0.076,0.336,1.044,5.127,-1.892,8.179
0.077,0.342,1.062,3.967,-1.770,7.874
0.076,0.328,1.076,3.662,-0.305,6.348
0.074,0.329,1.030,4.089,2.075,5.371
0.086,0.325,0.984,4.333,3.967,4.517
0.093,0.347,0.957,3.479,4.211,4.089
0.096,0.339,0.959,2.197,3.723,2.502
0.099,0.327,0.922,2.563,4.639,0.549
0.088,0.303,0.865,2.380,6.104,-0.549
0.089,0.292,0.867,0.549,4.211,-0.854
0.099,0.303,0.876,0.366,2.197,-0.488
0.096,0.305,0.906,1.709,0.549,-1.282
0.075,0.286,0.880,3.723,0.244,-2.319
0.054,0.254,0.917,4.395,-1.160,-2.930
0.056,0.235,0.937,4.456,-1.282,-2.808
0.054,0.234,0.908,3.601,0.366,-1.953
0.051,0.247,0.935,1.099,-0.671,-0.549
0.054,0.256,0.949,0.549,-1.953,0.305
0.058,0.265,0.943,2.502,-2.075,0.305
0.052,0.271,0.953,2.869,-2.136,0.305
0.060,0.266,0.974,3.052,-1.648,0.061
0.065,0.256,0.972,2.625,0.061,-0.610
0.066,0.259,0.952,1.892,1.465,-0.122
0.060,0.271,0.916,2.747,2.136,0.183
0.058,0.253,0.934,3.235,0.244,-0.305
0.069,0.248,0.939,3.906,-0.488,0.061
0.069,0.242,0.949,4.517,-0.549,0.793
0.071,0.246,0.941,4.395,0.000,1.587
0.078,0.256,0.940,3.845,0.366,2.563
0.079,0.264,0.925,2.930,0.671,3.113
0.078,0.259,0.919,1.648,0.793,3.296
0.076,0.265,0.932,0.549,-0.305,3.479
0.079,0.285,0.942,0.244,-0.854,3.662
0.078,0.277,0.960,0.732,-0.610,2.563
0.076,0.270,0.973,0.244,0.183,1.770
0.075,0.287,0.952,-0.549,1.892,1.770
0.085,0.315,0.931,-1.160,2.441,1.587
0.080,0.288,0.960,-0.061,0.732,-0.061
0.070,0.269,0.960,1.953,0.183,-1.038
0.067,0.263,0.941,3.784,0.671,-0.488
0.071,0.246,0.957,3.113,0.061,-0.305
0.061,0.252,0.937,3.113,0.427,0.427
0.059,0.256,0.934,3.662,0.244,0.732
0.061,0.273,0.935,2.563,0.244,0.793
0.063,0.282,0.939,1.770,0.305,0.427
0.062,0.273,0.930,1.160,0.549,-0.549
0.058,0.265,0.948,-0.977,0.488,-0.977
0.055,0.252,0.938,-1.404,0.793,-1.343
0.057,0.238,0.920,-0.488,1.221,-1.160
0.054,0.236,0.928,-0.122,0.549,-0.244
0.060,0.244,0.940,0.000,0.061,0.977
0.057,0.234,0.949,0.977,0.061,1.404
0.059,0.239,0.922,1.770,1.099,2.197
0.062,0.264,0.924,0.549,1.038,3.418
0.071,0.275,0.953,-1.648,-0.122,3.784
0.073,0.282,0.960,-1.892,-0.122,3.601
0.073,0.279,0.939,-0.427,0.610,2.869
0.074,0.282,0.950,-0.122,0.183,2.014
0.079,0.298,0.953,0.427,0.366,1.526
0.076,0.280,0.966,1.221,0.610,0.305
0.073,0.279,0.955,1.709,1.221,-0.488
0.072,0.276,0.942,2.380,2.319,-0.916
0.072,0.263,0.939,1.587,2.258,-1.343
0.076,0.257,0.955,0.610,1.648,-1.343
0.077,0.257,0.960,0.732,1.770,-0.916
0.070,0.244,0.923,1.465,2.991,-0.916
0.073,0.245,0.907,1.648,2.869,-0.610
0.080,0.247,0.937,-0.488,1.343,0.122
0.075,0.238,0.953,-0.916,1.465,0.366
0.067,0.238,0.929,0.610,2.625,0.305
0.073,0.236,0.916,2.136,2.502,0.610
0.067,0.242,0.937,1.282,0.854,1.099
0.062,0.255,0.932,0.916,0.000,2.014
0.062,0.266,0.946,0.916,-0.366,2.258
0.069,0.261,0.979,0.671,-1.038,1.465
0.064,0.264,0.972,0.977,0.122,1.404
0.062,0.248,0.960,1.343,1.038,1.160
0.068,0.254,0.963,0.549,1.465,1.587
0.073,0.262,0.959,-0.732,2.197,2.014
0.079,0.267,0.938,-0.793,3.540,1.770
-2.082,-0.064,2.302,7.874,-645.142,233.948
-2.080,0.063,3.442,16.052,-641.113,246.887
-1.779,0.691,4.000,9.766,-587.891,266.602
-1.258,1.989,4.000,8.301,-480.225,278.625
-0.676,3.018,3.901,3.113,-342.773,234.375
-0.310,3.000,3.488,-61.340,-212.402,124.451
-0.325,2.204,3.363,-162.903,-113.831,1.404
-0.484,1.217,3.167,-215.820,-34.485,-82.581
-0.634,0.303,2.593,-195.312,27.283,-116.760
-0.668,-0.299,1.885,-131.531,50.232,-106.445
-0.561,-0.433,1.535,-57.251,24.475,-67.261
-0.463,-0.292,1.557,-0.427,-12.756,-26.855
-0.345,-0.287,1.511,28.931,-29.419,-2.258
-0.194,0.054,1.517,28.625,-29.846,22.217
-0.077,0.341,1.542,13.977,-23.132,35.156
-0.020,0.492,1.508,7.629,-11.963,30.762
-0.016,0.571,1.425,8.850,1.526,21.362
-0.020,0.501,1.309,11.292,14.099,8.423
-0.004,0.411,1.142,13.367,25.635,-1.160
0.010,0.388,0.964,14.099,34.180,-5.127
0.009,0.363,0.823,12.512,36.438,-8.118
0.027,0.255,0.759,9.338,34.058,-11.597
0.050,0.219,0.670,7.446,30.457,-10.254
0.067,0.218,0.622,6.531,25.208,-6.348
0.069,0.173,0.659,4.822,15.930,-4.211
0.082,0.162,0.689,3.906,7.812,-0.671
0.094,0.213,0.738,4.578,1.770,4.395
0.097,0.244,0.742,5.859,-0.793,7.324
0.099,0.267,0.799,5.188,-3.723,8.667
0.103,0.320,0.840,4.272,-5.310,10.071
0.098,0.330,0.868,2.991,-4.822,8.850
0.081,0.336,0.896,2.441,-4.272,6.897
0.063,0.349,0.910,1.892,-3.601,5.859
0.061,0.364,0.930,1.343,-3.113,4.395
0.044,0.365,0.911,2.625,-1.770,2.441
0.039,0.332,0.918,2.747,-2.075,0.549
0.037,0.322,0.977,2.380,-4.150,0.183
0.043,0.311,1.000,2.441,-4.028,0.244
0.040,0.311,0.970,4.517,-2.991,0.488
0.024,0.306,1.006,6.531,-4.150,0.610
0.038,0.304,1.028,7.202,-3.845,0.000
0.033,0.288,1.020,7.263,-1.282,-0.671
0.032,0.283,1.029,5.188,0.488,-0.488
0.026,0.283,1.028,2.930,2.747,0.061
0.012,0.263,0.997,2.014,5.554,-0.122
0.011,0.239,0.964,1.770,6.836,0.549
0.013,0.253,0.933,2.319,5.371,2.747
0.024,0.288,0.899,3.357,3.723,4.639
0.042,0.312,0.902,3.662,1.099,4.639
0.051,0.311,0.928,4.944,-0.671,3.052
0.041,0.280,0.946,5.310,-0.549,0.977
0.039,0.274,0.923,3.601,0.793,0.061
0.031,0.277,0.904,1.831,1.343,-0.061
0.029,0.252,0.920,0.610,0.122,-0.732
0.024,0.258,0.925,0.061,-0.610,-0.305
0.027,0.267,0.922,0.916,-0.671,0.488
0.029,0.259,0.947,1.709,-1.892,0.427
0.028,0.270,0.966,2.075,-1.648,0.977
0.032,0.281,0.945,1.709,0.183,1.343
0.037,0.300,0.926,1.160,1.099,1.099
0.032,0.285,0.915,1.282,1.038,0.122
0.024,0.284,0.908,-0.122,0.427,-0.183
0.026,0.286,0.937,-1.526,-1.465,0.244
0.029,0.280,0.960,-1.221,-1.892,0.610
0.034,0.287,0.948,-0.366,-0.732,0.732
0.033,0.285,0.960,0.549,-0.488,0.977
0.040,0.279,0.977,1.099,-0.366,1.038
0.038,0.295,0.957,2.563,0.854,1.465
0.037,0.268,0.947,4.211,1.282,0.610
0.041,0.268,0.965,4.150,0.732,0.793
0.042,0.292,0.947,4.150,1.770,1.465
0.038,0.291,0.926,3.418,2.686,0.488
0.041,0.284,0.937,2.502,1.831,-0.427
0.044,0.291,0.946,1.709,1.404,-0.549
0.043,0.289,0.928,1.465,2.075,-0.854
0.044,0.275,0.931,1.587,1.587,-1.465
0.046,0.267,0.910,2.686,1.221,-1.282
0.046,0.266,0.908,3.052,0.061,-0.671
0.047,0.268,0.943,2.075,-1.770,-0.183
0.041,0.279,0.942,1.160,-1.343,-0.061
0.032,0.282,0.957,1.282,-0.610,-0.549
0.035,0.285,0.959,1.526,-0.061,-1.038
0.032,0.287,0.959,3.357,0.427,-1.099
0.032,0.273,0.975,4.028,1.038,-1.648
0.023,0.256,0.960,4.028,2.197,-2.136
0.027,0.255,0.935,3.662,3.296,-1.770
0.029,0.259,0.922,2.014,2.869,-1.221
0.034,0.261,0.934,0.610,1.648,-0.916
0.027,0.258,0.948,0.305,0.916,-0.854
0.027,0.266,0.932,0.366,1.343,-0.671
0.031,0.277,0.929,0.610,1.221,-0.732
0.029,0.259,0.958,1.892,0.671,-1.526
0.030,0.255,0.932,2.747,1.282,-1.709
0.030,0.256,0.940,2.014,1.038,-0.916
0.035,0.261,0.943,1.953,0.366,-0.366
0.033,0.253,0.959,1.526,0.061,-0.244
0.039,0.258,0.966,1.526,0.122,0.305
0.042,0.275,0.953,2.075,1.282,0.732
0.044,0.275,0.942,3.418,1.892,0.305
0.043,0.269,0.933,4.639,1.953,-0.427
0.047,0.268,0.924,4.639,1.648,-0.916
0.047,0.262,0.946,4.944,0.854,-1.099
0.046,0.250,0.943,5.127,0.916,-1.587
0.043,0.240,0.934,4.333,1.526,-1.221
0.045,0.252,0.949,3.540,0.732,-0.366
0.047,0.262,0.940,3.662,0.977,0.183
0.046,0.260,0.938,2.197,0.916,0.183
0.047,0.268,0.949,0.488,0.610,0.427
0.052,0.256,0.955,-0.244,0.793,0.366
0.045,0.273,0.921,1.038,1.526,0.854
0.032,0.272,0.942,2.625,0.610,0.977
0.048,0.254,0.959,1.770,0.244,-0.183
0.042,0.256,0.924,0.977,1.892,-0.427
0.038,0.246,0.933,0.366,1.038,-0.305
0.038,0.244,0.949,-0.732,-0.183,-0.122
0.034,0.243,0.954,-0.305,-0.427,0.488
0.033,0.240,0.947,0.610,0.122,0.916
0.035,0.256,0.933,0.427,0.427,1.404
0.038,0.271,0.951,0.366,0.000,1.709
-1.544,-0.030,1.512,89.294,-562.744,153.381
-1.497,0.110,2.312,70.129,-570.251,151.123
-1.371,0.403,3.234,31.799,-572.754,150.635
-0.870,0.742,4.000,-30.029,-540.344,156.067
-0.451,1.306,4.000,-94.543,-398.926,152.466
-0.256,1.495,3.422,-131.653,-225.281,113.708
-0.302,1.117,2.510,-151.062,-119.141,58.044
-0.335,0.613,2.019,-145.142,-92.041,22.827
-0.312,0.267,1.998,-121.277,-104.309,15.320
-0.185,0.214,2.020,-90.698,-111.816,23.376
-0.083,0.094,2.081,-54.443,-107.056,28.809
-0.135,0.311,1.622,-22.278,-83.801,36.621
-0.085,0.227,1.485,-13.123,-73.853,35.889
-0.039,0.378,1.546,-7.935,-82.031,36.804
-0.006,0.437,1.587,-6.104,-78.003,37.781
0.055,0.384,1.740,0.671,-76.111,30.945
-0.015,0.510,1.759,8.545,-62.622,28.687
-0.043,0.460,1.494,12.329,-40.100,22.095
0.001,0.346,1.588,9.705,-36.011,11.292
0.031,0.476,1.599,3.418,-26.306,12.817
0.051,0.473,1.450,2.075,-7.874,9.155
0.052,0.396,1.298,5.432,3.723,2.747
0.050,0.371,1.166,5.859,9.033,0.977
0.038,0.323,1.081,7.874,10.376,-0.122
