aX,aY,aZ,gX,gY,gZ
0.023,-0.145,-0.985,1.221,-2.197,0.427
0.025,-0.148,-0.981,1.892,-2.014,0.305
0.025,-0.148,-0.996,1.587,-1.099,0.122
0.026,-0.147,-0.998,1.648,-0.732,0.122
0.023,-0.140,-1.012,1.404,-0.366,0.488
0.027,-0.153,-1.004,1.282,-0.549,0.244
0.027,-0.166,-0.987,1.404,-0.977,0.305
-1.864,-0.733,-1.386,114.624,632.935,-211.670
-1.963,-0.898,-1.971,126.709,643.799,-188.232
-1.821,-1.001,-3.059,81.909,633.850,-159.729
-1.488,-1.036,-4.000,-22.156,573.059,-129.639
-1.202,-1.183,-4.000,-150.818,417.847,-103.638
-1.018,-1.202,-3.990,-251.404,238.037,-74.463
-1.007,-1.138,-3.264,-292.297,114.136,-46.692
-0.976,-1.083,-2.516,-275.391,59.326,-30.518
-0.931,-0.994,-2.226,-211.731,69.153,-28.687
-0.856,-0.736,-2.338,-123.047,101.868,-25.818
-0.733,-0.538,-2.418,-46.875,110.046,-28.381
-0.481,-0.400,-2.419,-9.705,94.727,-37.537
-0.428,-0.637,-2.209,-3.479,64.758,-53.955
-0.291,-0.630,-1.901,-3.845,35.889,-53.223
-0.222,-0.800,-1.659,-3.479,20.081,-49.805
-0.155,-0.811,-1.553,4.883,18.616,-42.603
-0.119,-0.729,-1.523,15.686,19.592,-31.067
-0.097,-0.687,-1.549,20.386,16.785,-23.132
-0.086,-0.671,-1.462,22.034,5.249,-16.113
-0.075,-0.622,-1.319,23.621,-8.362,-8.423
-0.086,-0.597,-1.158,25.452,-18.127,-2.441
-0.068,-0.538,-1.014,24.475,-23.804,2.441
-0.079,-0.447,-0.947,22.278,-21.790,6.226
-0.083,-0.363,-0.930,20.081,-16.479,6.592
-0.070,-0.348,-0.925,17.761,-14.160,2.991
-0.071,-0.320,-0.892,18.005,-14.648,-0.244
-0.073,-0.303,-0.895,18.982,-12.756,-2.869
-0.085,-0.332,-0.880,18.921,-10.681,-7.263
-0.078,-0.361,-0.860,15.564,-10.071,-10.986
-0.072,-0.423,-0.879,10.620,-7.690,-12.634
-0.047,-0.477,-0.914,6.042,-4.944,-11.414
-0.047,-0.506,-0.930,2.136,-4.761,-8.118
-0.048,-0.497,-0.957,-0.366,-5.005,-3.601
-0.056,-0.486,-0.962,-2.686,-7.385,-0.061
-0.067,-0.468,-0.958,-3.479,-9.644,3.113
-0.080,-0.451,-0.952,-1.587,-10.437,5.310
-0.091,-0.424,-0.960,4.395,-8.789,6.653
-0.097,-0.407,-0.948,10.925,-8.667,7.263
-0.103,-0.376,-0.915,14.526,-9.094,8.240
-0.098,-0.362,-0.927,15.076,-7.446,8.057
-0.112,-0.324,-0.948,15.259,-4.944,7.568
-0.125,-0.303,-0.944,16.296,-4.456,7.080
-0.122,-0.291,-0.914,17.090,-5.066,5.798
-0.116,-0.291,-0.939,15.808,-2.625,4.211
-0.110,-0.306,-0.964,12.390,-1.648,2.319
-0.107,-0.302,-0.946,7.812,-2.991,1.587
-0.099,-0.316,-0.976,3.296,-3.296,0.366
-0.079,-0.356,-0.966,1.770,-4.944,-0.488
-0.076,-0.346,-0.967,3.418,-6.592,0.549
-0.075,-0.327,-0.951,4.517,-7.141,1.648
-0.066,-0.346,-0.945,4.761,-7.019,0.610
-0.062,-0.344,-0.945,5.188,-6.165,0.183
-0.065,-0.338,-0.934,5.310,-5.371,0.427
-0.065,-0.346,-0.937,5.249,-3.845,0.244
-0.058,-0.347,-0.944,5.432,-3.052,0.610
-0.055,-0.333,-0.949,5.676,-2.747,1.221
-0.059,-0.320,-0.961,5.981,-2.502,1.770
-0.053,-0.329,-0.952,6.226,-3.418,1.526
-0.049,-0.318,-0.947,6.104,-4.456,2.014
-0.052,-0.299,-0.941,6.348,-5.005,2.380
-0.059,-0.286,-0.943,5.249,-5.554,1.343
-0.060,-0.294,-0.938,3.296,-5.981,-0.366
-0.070,-0.314,-0.915,2.319,-5.676,-1.099
